丑,丑
丞,丞
乃,乃
之,之
乎,乎
也,也
云,云
亘‐亙,亘
些,些
亦,亦
亥,亥
亨,亨
亮,亮
仔,仔
伊,伊
伍,伍
伽,伽
佃,佃
佑,佑
伶,伶
侃,侃
侑,侑
俄,俄
俠,俠
俣,俣
俐,俐
倭,倭
俱,俱
倦,倦
倖,倖
偲,偲
傭,傭
儲,儲
允,允
兎,兎
兜,兜
其,其
冴,冴
凌,凌
凜‐凛,凜
凧,凧
凪,凪
凰,凰
凱,凱
函,函
劉,劉
劫,劫
勁,勁
勺,勺
勿,勿
匁,匁
匡,匡
廿,廿
卜,卜
卯,卯
卿,卿
厨,厨
厩,厩
叉,叉
叡,叡
叢,叢
叶,叶
只,只
吾,吾
吞,吞
吻,吻
哉,哉
哨,哨
啄,啄
哩,哩
喬,喬
喧,喧
喰,喰
喋,喋
嘩,嘩
嘉,嘉
嘗,嘗
噌,噌
噂,噂
圃,圃
圭,圭
坐,坐
尭‐堯,尭
坦,坦
埴,埴
堰,堰
堺,堺
堵,堵
塙,塙
壕,壕
壬,壬
夷,夷
奄,奄
奎,奎
套,套
娃,娃
姪,姪
姥,姥
娩,娩
嬉,嬉
孟,孟
宏,宏
宋,宋
宕,宕
宥,宥
寅,寅
寓,寓
寵,寵
尖,尖
尤,尤
屑,屑
峨,峨
峻,峻
崚,崚
嵯,嵯
嵩,嵩
嶺,嶺
巌‐巖,巌
巫,巫
已,已
巳,巳
巴,巴
巷,巷
巽,巽
帖,帖
幌,幌
幡,幡
庄,庄
庇,庇
庚,庚
庵,庵
廟,廟
廻,廻
弘,弘
弛,弛
彗,彗
彦,彦
彪,彪
彬,彬
徠,徠
忽,忽
怜,怜
恢,恢
恰,恰
恕,恕
悌,悌
惟,惟
惚,惚
悉,悉
惇,惇
惹,惹
惺,惺
惣,惣
慧,慧
憐,憐
戊,戊
或,或
戟,戟
托,托
按,按
挺,挺
挽,挽
掬,掬
捲,捲
捷,捷
捺,捺
捧,捧
掠,掠
揃,揃
摑,摑
摺,摺
撒,撒
撰,撰
撞,撞
播,播
撫,撫
擢,擢
孜,孜
敦,敦
斐,斐
斡,斡
斧,斧
斯,斯
於,於
旭,旭
昂,昂
昊,昊
昏,昏
昌,昌
昴,昴
晏,晏
晃‐晄,晃
晒,晒
晋,晋
晟,晟
晦,晦
晨,晨
智,智
暉,暉
暢,暢
曙,曙
曝,曝
曳,曳
朋,朋
朔,朔
杏,杏
杖,杖
杜,杜
李,李
杭,杭
杵,杵
杷,杷
枇,枇
柑,柑
柴,柴
柘,柘
柊,柊
柏,柏
柾,柾
柚,柚
桧‐檜,桧
栞,栞
桔,桔
桂,桂
栖,栖
桐,桐
栗,栗
梧,梧
梓,梓
梢,梢
梛,梛
梯,梯
桶,桶
梶,梶
椛,椛
梁,梁
棲,棲
椋,椋
椀,椀
楯,楯
楚,楚
楕,楕
椿,椿
楠,楠
楓,楓
椰,椰
楢,楢
楊,楊
榎,榎
樺,樺
榊,榊
榛,榛
槙‐槇,槙
槍,槍
槌,槌
樫,樫
槻,槻
樟,樟
樋,樋
橘,橘
樽,樽
橙,橙
檎,檎
檀,檀
櫂,櫂
櫛,櫛
櫓,櫓
欣,欣
欽,欽
歎,歎
此,此
殆,殆
毅,毅
毘,毘
毬,毬
汀,汀
汝,汝
汐,汐
汲,汲
沌,沌
沓,沓
沫,沫
洸,洸
洲,洲
洵,洵
